单词	音标	词义	学习次数	错误次数	复习时间
thus	(暂无音标)	adv.因此，从而	2	1	1655302119
border	(暂无音标)	n.国界，边界	2	2	1654401419
confirm	(暂无音标)	v.证实，证明	2	2	1654401419
sheer	(暂无音标)	adj.纯粹的，十足的	2	2	1654401419
attempt	(暂无音标)	n.努力，尝试	2	2	1654401419
psychologist	(暂无音标)	n.心理学家	2	2	1654401419
thrill	(暂无音标)	n.惊险，刺激	2	2	1654401419
unaware	(暂无音标)	adj.未觉察到的，未意识到的	2	1	1655302119
plaster	(暂无音标)	n.创可贴	2	2	1654401419
thermometer	(暂无音标)	n.体温计	2	2	1654401419
cotton wool	(暂无音标)	药棉，脱脂棉	2	2	1654401419
guideline	(暂无音标)	n.指导方针，指导原则	2	2	1654401419
liquid	(暂无音标)	n.液体，液态物	2	1	1655302119
stretch	(暂无音标)	v.延伸，绵延	2	2	1654401419
league	(暂无音标)	n.里格（旧时长度单位，相当于3英里或3海里）	2	2	1654401419
submarine	(暂无音标)	n.潜（水）艇	2	2	1654401419
charge	(暂无音标)	n.主管，负责	2	2	1654401419
captain	(暂无音标)	n.船长	2	2	1654401419
ahead	(暂无音标)	adv.在前面	2	1	1655302119
fascinated	(暂无音标)	adj.被迷住的，被吸引住的	2	2	1654401419
chapter	(暂无音标)	n.章节	2	2	1654401419
helmet	(暂无音标)	n.头盔，钢盔	2	2	1654401419
astonish	(暂无音标)	v.使吃惊，使惊讶	2	2	1654401419
consume	(暂无音标)	v.消耗	2	2	1654401419
distinguish	(暂无音标)	v.看清，认出	2	2	1654401419
wrinkled	(暂无音标)	adj.有皱褶的	2	2	1654401419
shore	(暂无音标)	n.岸，滨	2	2	1654401419
carpet	(暂无音标)	n.地毯	2	2	1654401419
intensity	(暂无音标)	n.（光、声等的）强度	2	2	1654401419
vibration	(暂无音标)	n.震颤，震动	2	2	1654401419
atom	(暂无音标)	n.原子	2	2	1654401419
broad	(暂无音标)	adj.宽的，阔的	2	1	1655302119
in broad daylight	(暂无音标)	在大白天	2	1	1655302119
beneath	(暂无音标)	prep.在……之下，在……正下方	2	2	1654401419
resident	(暂无音标)	n.居民，住户	2	1	1655302119
